3,"55.610368,39.929556,51.639813,37.109026,42.278708,51.246511,38.229930,42.931274,43.654965,46.026108,40.098458,34.656146,39.184461,35.045884,30.107283,30.647797,31.317078,32.036765,31.588133,30.008984,29.594037,30.342542,29.443710,30.137197,30.326028"
0,"57.193425,49.937761,50.916518,44.534652,49.669254,45.354457,33.285057,40.168691,38.290375,39.940864,36.965831,31.197732,38.144462,29.240413,31.990424,31.130989,29.814431,31.868604,31.605296,31.103467,28.328450,27.199370,27.248155,27.926019,28.049241"
2,"53.700743,43.968649,41.243040,56.447359,43.777151,34.607605,55.542486,38.702200,38.799131,31.921731,37.200641,33.709110,34.136984,34.084858,33.474506,33.726834,30.536782,31.401390,31.991084,31.330650,30.833604,29.949012,29.435178,29.281212,29.427926"
1,"57.193425,49.937761,50.916518,44.534652,49.669254,45.354457,33.285057,40.168691,38.290375,39.940864,36.965831,31.197732,38.144462,29.240413,31.990424,31.130989,29.814431,31.868604,31.605296,31.103467,28.328450,27.199370,27.248155,27.926019,28.049241"
7,"66.137930,37.776875,43.525955,40.307339,43.257801,33.623403,39.678000,35.806392,31.486060,31.052926,32.529325,32.434922,31.542963,30.368415,30.890511,30.172482,29.900364,29.974122,28.482377,28.221954,29.593894,28.158794,28.232325,28.984090,28.508478"
4,"72.645632,72.402899,57.014180,42.988420,42.767605,43.328144,59.163138,47.024603,42.524794,42.152599,41.684141,41.476378,33.851923,38.525301,38.582392,36.324477,39.926023,35.272376,36.134365,32.091780,30.536820,28.681301,30.707968,32.444543,28.999197"
6,"55.560235,49.560364,35.818045,55.358373,35.479041,48.525712,54.130059,47.556224,45.773527,42.734587,51.533816,50.890662,40.467599,37.404956,37.945692,31.904656,36.388720,31.373971,30.645996,30.028572,28.503088,30.808863,29.811852,28.505712,29.841971"
5,"58.253249,41.981013,43.772529,51.675890,38.734077,41.557246,39.738381,35.046920,39.251103,39.498720,42.397086,36.368823,37.398874,39.461112,40.950156,38.597887,37.271348,35.599773,34.855427,30.092251,32.620254,27.832837,30.467316,30.958486,28.712144"
10,"44.210647,48.796597,48.381344,53.498647,45.445242,36.790803,41.678394,32.333022,35.276284,42.380910,44.328534,36.241341,37.104932,32.324306,36.299390,29.565653,29.123110,31.745790,31.138250,31.559231,31.146177,29.425696,30.030538,28.992536,29.934247"
11,"46.824933,46.458975,59.357623,48.654720,41.421178,54.975517,34.690716,40.997126,39.653898,32.011621,31.953745,32.315409,34.331770,30.132398,30.728650,36.227108,32.159983,31.697300,31.351212,29.061236,29.605457,29.732307,30.460293,30.004373,30.552386"
9,"65.021045,46.156058,44.206206,34.069345,54.395438,45.115339,42.776086,35.807263,31.960811,38.667509,39.348151,36.432685,39.859383,36.765504,30.489597,31.209224,33.063029,31.842500,34.489308,31.268131,32.905559,30.404339,29.243881,29.143545,29.873011"
8,"54.193423,42.183166,44.231651,52.476534,47.364328,41.691734,43.333565,39.859055,42.620802,40.796019,42.349121,37.607937,32.979792,35.684498,30.282951,31.348694,30.709514,31.676053,32.004591,29.603192,32.324630,30.987867,28.695717,28.829637,29.778524"
12,"68.219844,49.364796,38.886911,37.480626,41.141705,43.590115,46.379124,39.815383,39.910135,38.250012,39.106751,41.393733,34.759326,29.654391,32.752497,34.301064,31.512706,33.286051,32.031381,29.749379,29.562442,30.701612,33.139619,29.709198,29.251794"
13,"57.683289,46.553955,48.470946,44.652709,35.559441,43.588987,44.144323,37.233058,36.450804,35.661432,37.029574,33.806350,33.509489,32.999842,29.051359,30.752329,30.013648,31.226095,29.121421,29.416227,29.475782,28.375995,30.307026,29.757910,28.960042"
14,"44.698559,44.706500,51.825727,65.227330,51.334667,47.063024,41.165011,42.885039,40.360218,38.814263,39.418292,34.416043,37.454225,38.399214,39.753410,39.819867,35.317296,33.608844,31.887934,30.365688,29.567610,31.275097,29.760007,31.559380,28.680305"
15,"69.159751,55.477019,59.834496,47.237516,46.613868,51.520318,42.795346,34.427591,31.877045,31.953679,38.407896,36.516980,38.144104,32.256018,30.953849,29.427825,30.918160,29.707679,30.447256,32.105054,30.009287,28.758156,28.775312,27.960466,28.537121"
17,"54.390151,37.574013,42.201393,51.626374,40.772193,45.195812,35.222429,33.945024,38.885185,43.826734,46.950148,37.270784,38.461776,35.735628,39.941032,34.427724,36.335615,32.090036,31.485623,36.529754,28.344987,32.225614,29.801203,32.360855,31.412226"
16,"83.154790,54.661797,44.583191,49.551960,44.956248,46.689579,41.082292,44.524411,40.685828,40.452243,38.120541,37.143618,36.670796,36.449429,34.361131,35.871950,37.754138,33.093637,33.379791,35.069424,30.299690,29.550969,30.955526,29.939047,30.222780"
18,"58.724102,35.060435,43.735145,41.487003,41.936258,36.722361,38.185550,31.984278,35.340392,33.031771,35.520103,33.077714,30.765008,29.991771,30.970503,31.883449,30.121249,26.930944,28.772692,29.103885,29.319377,29.283628,26.886073,27.838046,29.873022"
19,"67.682660,61.807835,70.184181,50.267435,53.519603,40.498754,46.087133,47.597870,42.663969,40.461711,42.132538,37.194564,37.406977,40.460404,40.737619,34.648615,41.382495,32.787591,32.071738,28.652753,34.108383,30.631684,30.089948,29.197254,31.597448"
21,"61.439762,47.681491,52.313036,45.426813,43.426844,40.547247,45.274059,40.483270,44.032544,39.902428,35.612425,31.565497,32.437662,30.890351,31.183165,30.423070,30.430546,29.092339,29.757607,29.332147,30.619230,29.171208,28.764845,30.441987,29.019920"
22,"44.819267,45.696866,48.188181,40.419152,41.523347,40.988760,44.498821,42.773951,42.467079,40.263816,36.703509,32.790954,30.356279,32.630966,31.145590,32.873352,31.904294,31.564655,31.626005,30.891395,30.691669,29.773229,29.231774,30.003694,29.260891"
20,"54.006803,43.764709,43.389339,36.528119,37.377138,52.945221,43.490153,45.853061,43.629178,43.296143,34.136048,41.497886,31.120637,34.884639,39.220479,36.192890,29.221305,32.909131,31.451031,31.536064,31.112485,29.172764,28.444334,29.285669,28.848685"
23,"61.770663,41.609216,38.724509,42.720753,47.529434,48.234055,42.202113,35.152820,43.461804,37.623863,39.549323,34.587210,34.935128,34.961607,36.079393,34.691663,36.365998,35.540651,35.546638,35.379047,32.659944,35.081448,34.441414,34.521074,27.982143"
27,"73.115538,59.873232,58.527493,36.996578,44.001327,36.560471,38.796995,50.251014,38.500195,36.129678,42.375563,40.014138,32.743261,33.429007,31.150979,32.441392,30.076078,30.960480,32.724978,29.729100,28.297417,28.408101,28.484840,28.146006,28.928753"
24,"54.231684,39.237879,33.274069,29.739621,44.106757,43.390100,30.575406,30.737966,38.481320,39.669064,34.849010,34.969009,36.015491,35.142850,35.951277,40.928597,30.473451,28.663603,27.248419,29.109203,28.971815,27.241202,29.389342,29.611215,27.513719"
26,"58.871004,51.487439,49.199893,37.751325,37.792694,39.993662,43.539699,40.451798,35.571090,39.011451,41.737818,38.705292,36.860166,29.634011,37.891869,33.109163,36.141791,35.378943,30.480200,28.495615,32.317565,29.191216,29.372283,30.001908,27.941746"
25,"61.144402,41.623384,47.764353,43.846833,51.476566,48.007284,49.016952,36.447176,38.608896,38.316660,30.165735,37.831692,30.207292,30.966303,34.995510,32.679434,30.644307,30.520127,31.173103,29.384581,28.829890,29.569291,29.896670,28.771731,28.615889"
28,"66.468201,47.275999,47.492818,41.064393,32.853546,40.573091,38.474946,41.356376,38.786347,40.724762,38.536117,42.367158,37.803062,37.421253,30.066111,35.941765,32.555882,33.385765,39.393702,31.512300,29.896394,30.463704,32.558742,29.937239,30.831619"
29,"60.400618,44.715288,43.975537,49.292475,40.950596,37.968863,39.693625,31.104980,32.384484,35.512105,32.715844,35.652849,36.942790,33.685290,33.951145,27.672580,29.772587,30.196143,29.713193,30.760506,29.811291,29.777840,29.226104,29.575892,29.503208"
